gameId,name,polled,main,side,complete,fastest,slowest
192,Emulated,1,5:0:0,0:0:0,0:0:0,5:0:0,5:0:0
192,Super Nintendo,21,4:0:0,0:0:0,0:0:0,0:51:0,9:17:0
194,PlayStation,1,0:0:0,6:0:0,0:0:0,6:0:0,6:0:0
197,Browser,1,0:0:0,0:0:0,0:6:0,0:6:0,0:6:0
196,PC,89,1:14:0,1:12:0,1:28:0,0:30:0,3:0:0
196,PlayStation Vita,74,1:17:0,1:30:0,1:29:0,0:36:0,3:59:0
198,PC,52,1:42:0,1:54:0,2:17:0,1:12:0,4:0:0
199,PC,26,2:16:0,2:41:0,2:44:0,1:54:0,3:42:0
200,PC,21,1:53:0,3:6:0,2:20:0,1:15:0,3:37:0
201,Sega Mega Drive/Genesis,2,16:21:0,0:0:0,0:0:0,8:59:0,23:43:0
201,Super Nintendo,1,6:19:0,0:0:0,0:0:0,6:19:0,6:19:0
203,Game Boy Advance,9,2:51:0,0:0:0,0:0:0,2:4:0,3:40:0
204,Emulated,25,14:28:0,19:39:0,30:0:0,6:50:0,30:0:0
204,Game Boy Advance,128,15:12:0,25:5:0,36:40:0,7:0:0,56:19:0
204,Nintendo DS,1,0:0:0,21:37:0,0:0:0,21:37:0,21:37:0
204,Nintendo Switch,30,19:8:0,19:42:0,30:13:0,12:0:0,34:0:0
204,Wii U,14,16:4:0,21:53:0,0:0:0,9:59:0,26:17:0
206,Emulated,1,25:0:0,0:0:0,0:0:0,25:0:0,25:0:0
206,Nintendo 3DS,7,16:57:0,42:16:0,0:0:0,13:51:0,55:0:0
206,Nintendo DS,63,21:35:0,38:41:0,90:47:0,11:0:0,110:0:0
205,Emulated,11,29:36:0,40:27:0,0:0:0,24:0:0,60:0:0
205,Game Boy Advance,51,26:5:0,38:35:0,108:14:0,12:0:0,200:0:0
205,Nintendo DS,1,0:0:0,39:13:0,0:0:0,39:13:0,39:13:0
205,Nintendo Switch,12,28:32:0,32:49:0,0:0:0,20:49:0,52:5:0
205,Wii U,3,33:28:0,39:45:0,0:0:0,24:0:0,42:56:0
207,Emulated,2,27:10:0,0:0:0,0:0:0,19:20:0,35:0:0
207,Nintendo 3DS,7,24:10:0,30:44:0,0:0:0,20:0:0,43:2:0
207,Nintendo DS,72,23:49:0,60:20:0,270:0:0,13:0:0,450:0:0
207,Wii U,1,19:58:0,0:0:0,0:0:0,19:58:0,19:58:0
208,Emulated,4,3:30:0,2:30:0,3:0:0,2:0:0,5:0:0
208,NES,4,1:19:0,2:23:0,0:0:0,1:1:0,4:17:0
208,PC,2,1:30:0,4:0:0,0:0:0,1:30:0,4:0:0
208,Sega Master System,1,0:0:0,0:0:0,4:20:0,4:20:0,4:20:0
209,3DO,1,0:0:0,4:48:0,0:0:0,4:48:0,4:48:0
210,PC,53,7:59:0,7:57:0,8:20:0,5:0:0,11:0:0
210,Xbox,13,8:20:0,8:21:0,12:0:0,7:0:0,12:0:0
211,Atari 2600,36,0:13:0,1:2:0,1:8:0,0:3:0,2:2:0
211,Emulated,2,0:17:0,0:0:0,2:3:0,0:17:0,2:3:0
213,Mobile,2,0:0:0,58:0:0,70:0:0,58:0:0,70:0:0
213,Nintendo 3DS,2,22:42:0,0:0:0,0:0:0,18:1:0,27:23:0
214,Emulated,2,5:50:0,0:0:0,0:0:0,5:40:0,6:0:0
214,Game Boy,20,1:48:0,23:0:0,0:55:0,0:55:0,23:0:0
214,NES,42,3:23:0,2:1:0,3:27:0,0:59:0,13:53:0
215,Emulated,1,2:15:0,0:0:0,0:0:0,2:15:0,2:15:0
215,Game Boy,5,2:57:0,24:3:0,2:30:0,1:39:0,24:3:0
215,NES,33,2:53:0,2:10:0,3:24:0,1:13:0,10:0:0
215,Nintendo 3DS,1,0:0:0,0:0:0,5:33:0,5:33:0,5:33:0
